formula,year,Radio,IR,UV/Vis,authors,total,C,H,N,O,Si,S,Cl,Mg,Na,Al,K,F,P,Li,Fe,disputed,Ti,D,Ar,Cr,V,He,Ca,radical?
CH3C4H,1984,True,False,False,"['M Walmsley', 'R Jewell', 'E Snyder', 'G Winnewisser', 'M MacLeod', 'W Avery', 'W Broten', 'B Loren', 'A Wootten', 'G Mundy']",9,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
C3O,1985,True,False,False,"['E Matthews', 'M Irvine', 'P Friberg', 'D Brown', 'D Godfrey', 'D Brown', 'D Godfrey', 'M Cragg', 'N Rice', 'M Irvine', 'P Friberg', 'H Suzuki', 'M Ohishi', 'N Kaifu', 'M Morimoto']",4,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,False
c-SiC2,1984,True,False,False,"['P Thaddeus', 'E Cummins', 'A Linke']",3,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,False
C3H,1985,True,False,False,"['P Thaddeus', 'A Gottlieb', 'A Hjalmarson', 'B Johansson', 'M Irvine', 'P Friberg', 'A Linke']",4,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
HCl,1985,True,False,True,"['A Blake', 'G Phillips', 'R Federman', 'A Cardell', 'L Lambert', 'H Black']",2,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,False
c-C3H2,1985,True,False,False,"['P Thaddeus', 'M Vrtilek', 'A Gottlieb']",5,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
C6H,1986,True,False,False,"['H Suzuki', 'M Ohishi', 'N Kaifu', 'I Ishikawa', 'T Kasuga', 'M Guélin', 'J Cernicharo', 'C Kahane', 'J Gomez', 'M Walmsley']",7,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
HCNH+,1986,True,False,False,"['M Ziurys', 'E Turner']",4,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,False
MgNC,1986,True,False,False,"['M Guélin', 'J Cernicharo', 'C Kahane', 'J Gomez', 'K Kawaguchi', 'E Kagi', 'T Hirano', 'S Takano', 'S Saito', 'M Guelin', 'R Lucas', 'J Cernicharo']",3,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,True
C5H,1986,True,False,False,"['J Cernicharo', 'C Kahane', 'J Gómez', 'M Guélin', 'J Cernicharo', 'C Kahane', 'J Gómez', 'M Guélin']",6,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
H3O+,1986,True,False,False,"['A Wootten', 'F Boulanger', 'M Bogey', 'F Combes', 'J Encrenaz', 'M Gerin', 'L Ziurys', 'M Hollis', 'B Churchwell', 'E Herbst', 'A Wootten', 'G Mangum', 'E Turner', 'M Bogey', 'F Boulanger', 'F Combes', 'J Encrenaz', 'M Gerin']",4,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,False
C2S,1987,True,False,False,"['S Saito', 'K Kawaguchi', 'S Yamamoto', 'M Ohishi', 'H Suzuki', 'N Kaifu', 'J Cernicharo', 'C Kahane', 'M Guélin', 'H Hein']",3,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,False
C3S,1987,True,False,False,"['N Kaifu', 'H Suzuki', 'M Ohishi', 'T Miyaji', 'S Ishikawa', 'T Kasuga', 'M Morimoto', 'S Yamamoto', 'S Saito', 'K Kawaguchi', 'N Kaifu', 'H Suzuki', 'J Cernicharo', 'C Kahane', 'M Guélin', 'H Hein']",4,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,False
(CH3)2CO,1987,True,False,False,"['F Combes', 'M Gerin', 'A Wooten', 'G Wlodarczak', 'F Clausset', 'I Encrenaz', 'E Snyder', 'J Lovas', 'M Mehnringer', 'Y Miao', 'J Kuan', 'M Hollis', 'R Jewell']",10,3.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,False
NaCl,1987,True,False,False,"['J Cernicharo', 'M Guélin']",2,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,False
AlCl,1987,True,False,False,"['J Cernicharo', 'M Guélin']",2,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,False
KCl,1987,True,False,False,"['J Cernicharo', 'M Guélin']",2,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,False
AlF,1987,True,False,False,"['J Cernicharo', 'M Guélin', 'M Ziurys', 'J Apponi', 'G Phillips']",2,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,False
