formula,year,Radio,IR,UV/Vis,authors,total,C,H,N,O,Si,S,Cl,Mg,Na,Al,K,F,P,Li,Fe,disputed,Ti,D,Ar,Cr,V,He,Ca,radical?
H2CCS      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino', 'D Gallego', 'F Tercero', 'A López']",5,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,False
H2CCCS      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino', 'D Gallego', 'F Tercero', 'A López']",6,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,False
C4S      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino', 'D Gallego', 'F Tercero', 'A López']",5,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,False
t-HC(O)SH      ,2021,True,False,False,"['F Rodríguez', 'I Jiménez', 'M Rivilla', 'J Martín', 'S Zeng', 'B Tercero', 'L Colzi', 'F Rico', 'S Martín', 'A Requena']",5,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,False
c-C3HCCH      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo']",7,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
c-C5H6,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo']",11,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,False
c-C9H8,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo', 'M Burkhardt', 'B Changala', 'N Shingledecker', 'R Cooke', 'A Loomis', 'B Charnley', 'E Herbst', 'C McCarthy', 'A McGuire']",17,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,False
NH2CH2CH2OH      ,2021,True,False,False,"['M Rivilla', 'I Jiménez', 'J Martín', 'C Briones', 'F Rodríguez', 'F Rico', 'B Tercero', 'S Zeng', 'L Colzi', 'S Martín', 'A Requena']",11,2.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
H2C5,2021,True,False,False,"['C Cabezas', 'B Tercero', 'M Agúndez', 'N Marcelino', 'R Pardo', 'J Cernicharo']",7,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
HCSCN      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'Y Endo', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino']",5,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,False
HCSCCH      ,2021,True,False,False,"['J Cernicharo', 'C Cabezas', 'Y Endo', 'M Agúndez', 'B Tercero', 'R Pardo', 'N Marcelino']",6,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,False
HNCN      ,2021,True,False,False,"['M Rivilla', 'I Jiménez', 'J García', 'J Martín', 'L Colzi', 'F Rodríguez', 'B Tercero', 'F Rico', 'S Zeng', 'S Martín', 'A Requena']",4,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,True
o-C6H4,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'I Kaiser', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo']",10,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
H2CCCHC3N      ,2021,True,False,False,"['N Shingledecker', 'T Wandishin', 'N Balucani', 'M Burkhardt', 'B Charnley', 'R Loomis', 'M Schreffler', 'M Siebert', 'C McCarthy', 'A McGuire']",10,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
MgC5N      ,2021,True,False,False,"['R Pardo', 'C Cabezas', 'P Fonfría', 'M Agúndez', 'B Tercero', 'M Guélin', 'J Cernicharo']",7,5.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,True
MgC6H      ,2021,True,False,False,"['R Pardo', 'C Cabezas', 'P Fonfría', 'M Agúndez', 'B Tercero', 'M Guélin', 'J Cernicharo']",8,6.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,True
C2H5CONH2,2021,True,False,False,"['J Wang', 'V Ilyushin', 'A Motiyenko', 'A Alekseev', 'D Quan', 'L Margulès', 'J Lovas', 'E Bergin', 'Z Shen', 'S Zheng', 'X Zheng']",12,3.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
C2H3NH2,2021,True,False,False,"['S Zeng', 'I Jiménez', 'M Rivilla', 'J Martín', 'F Rodríguez', 'B Tercero', 'F Rico', 'L Colzi', 'S Martín', 'A Requena']",8,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
C2H5NH2,2021,True,False,False,"['S Zeng', 'I Jiménez', 'M Rivilla', 'J Martín', 'F Rodríguez', 'B Tercero', 'F Rico', 'L Colzi', 'S Martín', 'A Requena']",10,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,False
C2H5NCO      ,2021,True,False,False,"['F Rodríguez', 'M Rivilla', 'I Jiménez', 'M Melosso', 'L Colzi', 'S Zeng', 'B Tercero', 'S Martín', 'A Requena', 'F Rico', 'J Martín']",10,3.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
CH2CCCN      ,2021,True,False,False,"['C Cabezas', 'M Agúndez', 'N Marcelino', 'B Tercero', 'R Pardo', 'J Cernicharo']",7,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,True
H2NC,2021,True,False,False,"['C Cabezas', 'M Agúndez', 'N Marcelino', 'B Tercero', 'S Cuadrado', 'J Cernicharo']",4,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,True
c-C5H5CCH      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'I Kaiser', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo']",13,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,False
c-C5H5CCH      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'I Kaiser', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo']",13,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,False
C6H5CCH      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'I Kaiser', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Pardo']",14,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,False
HCCCO      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Fuentetaja', 'R Pardo']",5,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True
C5O      ,2021,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'B Tercero', 'N Marcelino', 'R Fuentetaja', 'R Pardo']",6,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3C7N      ,2022,True,False,False,"['A Siebert', 'J Remijan', 'M Burkhardt', 'A Loomis', 'C McCarthy', 'A McGuire']",12,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HCCS+,2022,True,False,False,"['C Cabezas', 'M Agúndez', 'N Marcelino', 'B Tercero', 'Y Endo', 'R Fuentetaja', 'R Pardo', 'J Cernicharo']",4,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,False
C5H+,2022,True,False,False,"['J Cernicharo', 'M Agúndez', 'C Cabezas', 'R Fuentetaja', 'B Tercero', 'N Marcelino', 'Y Endo', 'R Pardo']",6,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,False
